Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA Rate	Chimeric Alignment Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads excluded from exon counts	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
193CP_LS	0.990612	1	0	0	0.00207971	0.992501	0.988723	0.00202746	0.00213215	0.896547	0.916855	0.905044	0.0525964	0.0211894	0.95764	0.0211705	0.921342	0.0488167	0.0128572	0.970158	0.0169845	0	0.0143358	0	0.0147009	0.985819	0.430894	40256741	4373910	0	103196559	1484564	12646830241	12598700812	125216141	124739612	25640996	26862284	1539716	103199774	226220884	0	229173081	5296417	239367659	5291677	13146775	17203009	20782672	0	249955753	249955753	52503280	249936291	0	0	249955753	3583328	25245531053	124350355	292581327	252324586	0	101	24376	0	10231	0.538232	0.551724	0.305874	0.405437	0.271084	0.818182	0	0	0.920248	0.228381	0.231341
204H_AM_M1	0.95848	1	0	0	0.0103935	0.959299	0.957661	0.0110144	0.00977142	0.868566	0.862583	0.906191	0.0300715	0.031276	0.936262	0.032462	0.95003	0.0225021	0.00999512	0.972532	0.017473	0	0.0237117	0	0.494195	0.507539	0.256317	36251812	313053	0	25300071	24592970	4420168360	4412623384	58160110	58060834	48685608	43117581	24719308	25345946	105318324	0	100250173	3634923	108813257	3772764	3494933	17351996	15970771	0	116220944	116220944	91803189	116192270	0	0	116220944	2755795	8832791744	57629707	157507281	121255469	0	76	23745	0	5412	0.509302	0.5	0.305238	0.393114	0.25	0.777778	0	0	0.939833	0.257172	0.247116
205E_BD_M1	0.953132	1	0	0	0.0103233	0.954582	0.951682	0.01071	0.00993541	0.864781	0.863729	0.907305	0.030164	0.0389749	0.937469	0.0235562	0.959829	0.0170634	0.00817428	0.976892	0.0149333	0	0.0126231	0	0.492565	0.50781	0.277626	44993373	329154	0	24437338	23625014	4336071700	4322895504	57053575	56880204	46439170	42949742	23721200	24374748	103372676	0	98407958	4440559	106809378	2683842	3436702	17446092	15525821	0	113933779	113933779	89388912	113913879	0	0	113933779	1438192	8658967204	56475372	164529578	119536205	0	76	22339	0	5397	0.516746	0.503546	0.304531	0.379188	0.266667	0.783333	0	0	0.941836	0.246776	0.233872
210DB_BW_M1	0.947995	1	0	0	0.0106196	0.950549	0.94544	0.0102887	0.0109524	0.808376	0.883997	0.852722	0.0585551	0.0682128	0.911277	0.0205098	0.890155	0.0514956	0.0423596	0.941651	0.0159899	0	0.0161326	0	0.498848	0.503495	0.251061	27645817	247492	0	19746296	19437297	3683351932	3663556060	48465157	48204685	37896885	40124688	19655480	19710952	82432529	0	85455873	6594118	88093042	1982682	5660513	13018921	11213969	0	96669842	96669842	78021573	96623097	0	0	96669842	1559535	7346907992	47785925	129618811	101972994	0	76	26153	0	7157	0.761703	0.9	0.282935	0.13107	0.625	0.969231	0	0	1.70777	0.596705	0.598569
227DJ_JP_M1	0.957594	1	0	0	0.0103238	0.959389	0.955799	0.0105783	0.0100684	0.874576	0.866064	0.913305	0.0286991	0.0320889	0.942004	0.0259069	0.957147	0.0194916	0.00779239	0.976638	0.0155695	0	0.0119471	0	0.492222	0.507694	0.262091	33294989	326358	0	22610668	21834961	3969242272	3954387388	52226872	52031413	41987913	39814324	21917938	22517492	95219629	0	90294383	3345532	98211744	2701009	2992115	15211586	13963902	0	104258285	104258285	81802237	104229154	0	0	104258285	1245581	7923629660	51677668	142170235	108875246	0	76	21749	0	5035	0.504685	0.5	0.30527	0.37927	0.25	0.766102	0	0	0.945899	0.246383	0.234224
247DT_SH_M1	0.954217	1	0	0	0.0102972	0.95468	0.953753	0.0110755	0.00951823	0.876143	0.883503	0.91818	0.030089	0.0302557	0.948269	0.0214751	0.952777	0.0223289	0.00982568	0.975106	0.0150685	0	0.00914801	0	0.493908	0.505984	0.295652	31276210	376688	0	25873318	25229596	4514839432	4510457424	59405782	59348124	50003932	42931550	25250443	25840788	109037486	0	104919422	3592988	112610671	2550247	3573185	15611787	13834484	0	118753906	118753906	92935482	118701235	0	0	118753906	1086362	9025296856	58863934	155727938	124451728	0	76	23636	0	6506	0.512399	0.506122	0.301686	0.379223	0.258427	0.766846	0	0	0.910821	0.227659	0.216053
250DV_LR_M1	0.986985	1	0	0	0.00315289	0.988687	0.985284	0.00291714	0.00338944	0.88692	0.911079	0.898615	0.051105	0.0312482	0.94972	0.0190314	0.924645	0.0476144	0.0126912	0.972259	0.0150497	0	0.014461	0	0.502488	0.50228	0.247264	14462352	213451	0	14079732	14021777	2553211336	2544423152	33594886	33479252	7448083	8624176	14220575	14150243	60273852	0	61109862	2095947	63701679	1276512	3427827	5826703	5964276	0	67074138	67074138	16072259	67069120	0	0	67074138	969956	5097634488	33293464	82420944	67958592	0	76	22530	0	4736	0.59659	0.64	0.300619	0.355824	0.375	0.862745	0	0	0.93964	0.28346	0.268017
251DW_SD_M1	0.988535	1	0	0	0.00299215	0.989781	0.987288	0.00276721	0.00321766	0.875989	0.91544	0.886149	0.0616149	0.0326619	0.947764	0.0195746	0.910202	0.058619	0.0152201	0.968821	0.0159586	0	0.014505	0	0.503079	0.501178	0.255603	13237985	229962	0	13124082	13126871	2393965648	2387935352	31499548	31420202	6624599	7683568	13286703	13188893	55756249	0	57599270	2055076	59633043	1231631	3876794	5101993	5320480	0	62919750	62919750	14308167	62917306	0	0	62919750	912650	4781901000	31248005	76887496	63649511	0	76	22667	0	4521	0.586314	0.620968	0.299793	0.364273	0.363636	0.857143	0	0	0.920135	0.278297	0.261844
252DX_DC_M1	0.986854	1	0	0	0.00318272	0.988719	0.984989	0.00289947	0.00346704	0.897322	0.910532	0.909275	0.0420865	0.030512	0.951362	0.0181263	0.936672	0.0384853	0.0116006	0.975158	0.0132416	0	0.0123293	0	0.499709	0.504577	0.274777	16027192	408567	0	14785970	14573431	2690942336	2680792156	35407136	35273581	7802302	9294415	14768767	14842682	64268220	0	64357028	2156613	67242925	1281179	2974705	6014611	6323689	0	70680717	70680717	17096717	70678344	0	0	70680717	871445	5371734492	35077242	87649447	71622255	0	76	21972	0	4526	0.553237	0.565217	0.302599	0.375045	0.321429	0.821918	0	0	0.938572	0.272058	0.258735
253DY_HA_M1	0.988034	1	0	0	0.00312229	0.989667	0.986401	0.00292773	0.00331749	0.850242	0.923782	0.860539	0.0840852	0.0354053	0.944624	0.0199704	0.879583	0.0817114	0.0212054	0.961294	0.0175006	0	0.00757525	0	0.500918	0.50236	0.251991	10697446	197867	0	12459400	12373763	2278005760	2270488448	29973760	29874848	6669395	7532313	12505223	12491104	51502067	0	55287059	2118958	56534447	1195203	5032380	4401614	4561549	0	59848608	59848608	14201708	59834166	0	0	59848608	453368	4548494208	29729657	71270871	60573425	0	76	23803	0	5027	0.569367	0.595	0.294398	0.357059	0.341463	0.831325	0	0	0.87007	0.253914	0.23628
254DZ_WP_M1	0.986652	1	0	0	0.00313188	0.988228	0.985075	0.00295049	0.00331385	0.880598	0.91681	0.892511	0.061511	0.0223817	0.954022	0.0235962	0.911002	0.0599031	0.0138424	0.970905	0.0152524	0	0.0128443	0	0.501098	0.501599	0.281397	21612743	521279	0	29170100	29040191	5156456968	5140002132	67848118	67631607	15214088	17033188	29298553	29226546	120917164	0	124209180	3032267	129250654	3196804	8333490	11106315	11270545	0	135479725	135479725	32247276	135470065	0	0	135479725	1740148	10296459100	67323599	158925357	137312614	0	76	24092	0	6660	0.536875	0.541667	0.298348	0.367991	0.3	0.8	0	0	0.896033	0.238806	0.231461
255EA_GC_M1	0.986227	1	0	0	0.00304904	0.987979	0.984474	0.00277829	0.00332076	0.91291	0.917966	0.92566	0.0330905	0.0232498	0.95875	0.0180002	0.946844	0.0294997	0.00990339	0.976344	0.0137529	0	0.0154114	0	0.501317	0.50309	0.264655	10746389	187830	0	13066434	12962650	2349895376	2341559924	30919676	30809999	6528698	7775755	13135432	13123870	57140661	0	56665764	1435202	59183324	1111149	2042663	4971850	5063911	0	61729675	61729675	14304453	61722027	0	0	61729675	951339	4691455300	30636114	73338163	62591774	0	76	21210	0	4454	0.630132	0.702128	0.305895	0.331803	0.410714	0.9	0	0	1.05979	0.333205	0.320242
26I_SK_M1	0.987278	1	0	0	0.0032169	0.98866	0.985895	0.00308246	0.00335173	0.886608	0.91629	0.898033	0.0554752	0.0236569	0.953508	0.0228347	0.91845	0.0535169	0.0133438	0.971967	0.0146895	0	0.0174561	0	0.501494	0.501242	0.268038	13101437	289269	0	16743286	16698023	2974348996	2966031252	39136171	39026727	9168303	9941327	16843625	16781165	70192880	0	71619853	1849088	74528986	1784824	4336106	6386582	6543045	0	78162898	78162898	19109630	78158923	0	0	78162898	1364416	5940380248	38826039	92271572	79170135	0	76	21839	0	4387	0.535993	0.538462	0.30053	0.374723	0.3	0.804511	0	0	0.941352	0.27623	0.261807
361AL_CC_M1	0.953466	1	0	0	0.0105432	0.955576	0.951357	0.0107239	0.0103617	0.873238	0.865467	0.915856	0.0246195	0.030149	0.940476	0.0293752	0.961169	0.0153614	0.00777725	0.97653	0.0156923	0	0.013751	0	0.493425	0.507612	0.272784	36550979	306442	0	24946345	24137987	4341000604	4321834848	57118429	56866248	46552474	44781735	24298783	24884279	104393587	0	98649935	3436523	107199833	3348321	2806246	17119157	15334742	0	113984677	113984677	91334209	113979165	0	0	113984677	1567401	8662835452	56476973	156098678	119547699	0	76	21891	0	5177	0.512666	0.5	0.30328	0.376352	0.268293	0.777778	0	0	0.942513	0.244165	0.230917
373HQ_BTG_M1	0.963155	1	0	0	0.00901462	0.96354	0.96277	0.00907964	0.00894956	0.831529	0.911465	0.863338	0.0836508	0.0303997	0.946989	0.0226113	0.878493	0.0819588	0.0201824	0.960452	0.0193655	0	0.00941096	0	0.497721	0.505685	0.244421	23515019	219339	0	38275170	37625620	6906769952	6901249768	90878552	90805918	62710971	61763139	37927815	38491089	156855135	0	165599061	5523161	172053189	4108120	15198054	18126146	16085409	0	181684470	181684470	124474110	181427154	0	0	181684470	1709826	13808019720	89932934	212149679	188634660	0	76	28228	0	10892	0.622207	0.674419	0.283933	0.317174	0.421053	0.869565	0	0	0.854761	0.217168	0.206921
37L_NA_M1	0.980675	1	0	0	0.00376563	0.987379	0.973971	0.00278337	0.00476142	0.856438	0.790583	0.873315	0.0315498	0.0650428	0.904865	0.030092	0.975156	0.00640804	0.00191735	0.981564	0.0165184	0	0.0256079	0	0.0297123	0.973995	0.414917	59627142	37496	0	26158900	690902	2614260160	2578760788	34398160	33931063	7276447	12278551	801043	25877087	59672960	0	54019928	4444323	61828735	2056165	2155775	14616148	14309295	0	68329223	68329223	19554998	68189615	0	0	68329223	1749769	5193020948	33862147	129302862	69675720	0	76	19349	0	5755	0.313092	0.185714	0.319773	0.248384	0.04	0.5	0	0	1.49049	0.348803	0.294199
41M_MW_M1	0.984892	1	0	0	0.00326644	0.987703	0.98208	0.00279263	0.00374297	0.939041	0.922315	0.953446	0.01618	0.0163599	0.969626	0.0140141	0.970268	0.0127723	0.00636847	0.98304	0.0105913	0	0.024107	0	0.502199	0.501553	0.35096	16789854	446226	0	24479252	24346219	4338686480	4313988304	57087980	56763004	12116337	16147113	24695513	24497894	108550768	0	105006457	1862589	110392879	1595516	1842111	8557827	8844527	0	113850984	113850984	28263450	113790058	0	0	113850984	2744605	8652674784	56462325	132387334	115597480	0	76	22210	0	5843	0.560155	0.583333	0.312414	0.390658	0.315789	0.845857	0	0	1.10135	0.335464	0.336544
46N_RL_M1	0.981514	1	0	0	0.00339883	0.983388	0.97964	0.00323305	0.00356524	0.897448	0.916845	0.914351	0.0460206	0.0200505	0.960372	0.0195778	0.930823	0.043998	0.0119344	0.974821	0.0132444	0	0.00731554	0	0.500552	0.502163	0.300818	24272387	446061	0	31040880	30806882	5784691132	5762642316	76114357	75824241	18702203	20545200	31109485	31074615	138925218	0	139304213	3046450	145917525	2974623	6992307	13173768	12634385	0	151938598	151938598	39247403	151934930	0	0	151938598	1111513	11547333448	75430334	179072632	154800245	0	76	23974	0	6982	0.527465	0.523077	0.297513	0.364948	0.295154	0.787234	0	0	0.883051	0.228001	0.219594
49O_NM_M1	0.986606	1	0	0	0.00289464	0.987647	0.985565	0.00276331	0.00302625	0.898272	0.90679	0.910467	0.0446391	0.0205226	0.955106	0.0243713	0.931996	0.0429512	0.0116544	0.974948	0.013398	0	0.00938049	0	0.501474	0.500835	0.303857	125654498	1966001	0	129402386	129240759	23687288600	23637373396	311674850	311018071	65455329	71532602	130167758	129672999	566941419	0	564651730	12779251	594737864	15175806	27796445	58148842	58041191	0	622692921	622692921	136987931	622671284	0	0	622692921	5841162	47324661996	309519761	756801062	631146564	0	76	28871	0	12224	0.538024	0.543193	0.29651	0.360558	0.306667	0.792793	0	0	0.82475	0.19376	0.191959
65T_CR_M1	0.986093	1	0	0	0.00297454	0.987639	0.984546	0.00276456	0.00318518	0.894851	0.910834	0.907472	0.0456639	0.0234989	0.953136	0.0233654	0.930572	0.0430752	0.0118628	0.973647	0.0144898	0	0.0163918	0	0.501399	0.50283	0.268851	25194449	428479	0	28260026	28078357	5022191188	5006462988	66081463	65874513	13884172	15946478	28418669	28397969	119746335	0	120190038	3100816	125771953	3083207	6025618	11738890	11765938	0	131955976	131955976	29830650	131951314	0	0	131955976	2162995	10028654176	65565085	159011478	133817029	0	76	24246	0	7269	0.535141	0.535714	0.297927	0.37065	0.3	0.8	0	0	0.842355	0.206205	0.194441
81AB_MM_M1	0.959953	1	0	0	0.0103923	0.961822	0.958083	0.0105977	0.0101862	0.876426	0.871767	0.912989	0.0304205	0.0291487	0.94341	0.0274418	0.953223	0.0223681	0.00873087	0.975591	0.0156779	0	0.0149538	0	0.496006	0.505321	0.255124	36399091	284978	0	26662046	26065051	4699387040	4681119604	61834040	61593679	49802772	47682702	26239487	26625840	112688148	0	107600167	3597755	116442887	3387077	3754739	17141639	15827552	0	123427719	123427719	97485474	123402143	0	0	123427719	1845714	9380506644	61208218	164975979	128576888	0	76	23374	0	5894	0.52874	0.525424	0.302132	0.380888	0.285714	0.8	0	0	0.91156	0.235005	0.222962
92AI_SM	0.984441	1	0	0	0.00339901	0.98616	0.982722	0.00326164	0.00353686	0.861419	0.90057	0.875034	0.0684202	0.0215083	0.943454	0.0350373	0.889536	0.0673643	0.0167491	0.9569	0.0263508	0	0.0108849	0	0.0163682	0.984296	0.384025	14797164	2104366	0	41306777	660074	4963233526	4945929499	49140926	48969599	16188258	17493080	687369	41372082	85850058	0	88355396	2110193	92562802	3437530	6712744	7950117	9755129	0	98110525	98110525	33681338	98107048	0	0	98110525	1067925	9909163025	48721295	114458333	99661169	0	101	24535	0	8566	0.476721	0.454545	0.300021	0.390007	0.209877	0.737705	0	0	0.866057	0.233131	0.224097
9C_DH_M1	0.985979	1	0	0	0.00302743	0.987356	0.984601	0.00282979	0.00322563	0.885556	0.911889	0.89815	0.0511661	0.0272094	0.949316	0.0234749	0.921551	0.0489592	0.0142067	0.97051	0.0152835	0	0.0169611	0	0.500774	0.503184	0.254612	26770961	330825	0	30043584	29802468	5416558760	5401443348	71270510	71071623	15327716	17423077	30136693	30184441	127844541	0	129800262	3873039	135127632	3341462	7283091	12671446	12541871	0	142342133	142342133	32750793	142339469	0	0	142342133	2414273	10818002108	70747707	171137318	144366357	0	76	25375	0	8110	0.621483	0.677215	0.291634	0.324514	0.419631	0.875	0	0	0.90255	0.24273	0.234756
B09-24-1RNA_UNKNOWN	0.938674	1	0	0	0.0129046	0.939988	0.937359	0.0128147	0.0129948	0.827577	0.882684	0.881644	0.0626002	0.0266505	0.944245	0.029105	0.901947	0.0602563	0.0174549	0.962204	0.0203414	0	0.0144442	0	0.497089	0.504686	0.245288	50778560	2103152	0	63875283	62719306	11391301268	11359440472	149885543	149466322	145976480	147613344	63135715	63906016	263921899	0	264233088	7977863	282661371	8712631	18739472	41422401	35118777	0	299351865	299351865	293589824	299339002	0	0	299351865	4323908	22750741740	147653769	369687878	318909318	0	76	30441	0	12145	0.601587	0.647059	0.287617	0.327769	0.397436	0.848485	0	0	0.822851	0.206608	0.197656
B09-25-1RNA	0.976894	1	0	0	0.00305564	0.972152	0.981635	0.00287219	0.00323731	0.866895	0.897892	0.8874	0.065005	0.0299224	0.952405	0.0176726	0.909576	0.0610357	0.0155181	0.970612	0.0138703	0	0.0122074	0	0.496525	0.497023	0.258827	11578453	459362	0	12305937	12411625	2241055016	2262915048	29487566	29775198	6436742	7325760	12136052	12264688	52589775	0	53211537	1773286	56442150	1047328	3852375	5660854	6051227	0	59262764	59262764	13762502	59261884	0	0	59262764	723442	4503970064	29216734	72242961	60664508	0	76	22038	0	3914	0.565475	0.586207	0.300466	0.36639	0.334601	0.833333	0	0	0.947325	0.294555	0.272171
B09-40-1M	0.968776	1	0	0	0.00616459	0.971605	0.965947	0.00564834	0.00668386	0.890693	0.882652	0.919401	0.0270488	0.0369759	0.94645	0.0165745	0.965507	0.0149724	0.00865157	0.98048	0.0108687	0	0.00764554	0	0.495743	0.507824	0.30485	39821540	186730	0	22223100	21555617	4209568408	4185057420	55389058	55066545	23777077	27972339	21847889	22240952	101552966	0	97493840	4084194	104540662	1830747	2987696	14140838	12961763	0	110455603	110455603	51749416	110452175	0	0	110455603	844493	8394625828	54635051	153837170	114015630	0	76	20947	0	5061	0.540033	0.549669	0.30465	0.371141	0.296296	0.8	0	0	1.00125	0.268965	0.255135
B10-02-1RNA	0.962741	1	0	0	0.00733677	0.967057	0.958425	0.00664809	0.00803166	0.841775	0.890011	0.874352	0.0692223	0.0276783	0.943574	0.0287473	0.896956	0.0672128	0.0165569	0.964169	0.019274	0	0.0164416	0	0.492871	0.500998	0.259281	32391757	1896286	0	37178170	36244390	6655357924	6595952524	87570499	86788849	44245386	52976428	36132885	36389365	152451454	0	155181753	4825974	164521005	5012369	12069551	19833738	19177595	0	174359348	174359348	97221814	174352686	0	0	174359348	2866740	13251310448	85942513	213498989	181107232	0	76	26396	0	9455	0.60737	0.650407	0.282892	0.318644	0.409091	0.848101	0	0	0.970895	0.294466	0.28236
